Customer_ID,Call_Duration_sec,Data_Usage_MB,Plan_Type,Monthly_Bill,Network_Type,City,State,Num_Calls,Num_SMS,Service_Requests
95237fbc,3410,2342.11,Postpaid,113.47,3G,Dallas,TX,267,224,8
b457c9e3,1138,2886.58,Prepaid,185.37,4G,San Antonio,TX,227,160,3
ddbdd711,306,1473.04,Postpaid,192.82,3G,San Antonio,TX,86,217,10
222eadcb,507,4319.29,Postpaid,46.7,5G,San Diego,CA,292,68,1
db2c9318,1559,3504.22,Postpaid,164.46,3G,San Antonio,TX,404,216,4
9646da74,2449,4975.01,Prepaid,87.82,3G,San Antonio,TX,435,283,3
aaccb342,1487,4703.29,Postpaid,65.69,3G,Chicago,IL,333,70,9
6e62e098,309,497.56,Postpaid,74.67,5G,San Antonio,TX,56,212,1
0e6b3fff,391,2439.22,Postpaid,138.65,3G,Chicago,IL,240,54,6
97282682,562,2646.88,Prepaid,78.26,5G,Philadelphia,PA,328,63,10
d1b2e687,3204,3919.63,Prepaid,195.24,5G,Chicago,IL,404,78,2
3d565214,2908,1771.54,Postpaid,146.71,3G,Philadelphia,PA,207,12,4
2be87427,3295,2795.85,Postpaid,86.31,3G,Phoenix,AZ,170,12,9
43ece80d,2264,3409.62,Prepaid,144.45,5G,Los Angeles,CA,265,277,3
ac4b251e,1926,4.95,Prepaid,36.0,3G,San Jose,CA,110,282,9
e563e01e,2857,2204.77,Postpaid,86.24,4G,Los Angeles,CA,70,206,3
c88d37f2,673,3740.89,Postpaid,99.36,5G,San Antonio,TX,241,236,3
2f98f9c4,2316,4649.67,Prepaid,101.38,5G,Houston,TX,384,238,5
9b933803,3431,3164.66,Prepaid,99.68,3G,San Jose,CA,237,283,1
ba4ae671,153,711.53,Prepaid,97.55,4G,Houston,TX,371,148,2
4aaf2fc1,647,2901.17,Postpaid,156.96,3G,New York,NY,137,293,8
0866ed4f,1662,1428.23,Postpaid,116.78,4G,New York,NY,215,116,3
a50a8e82,2326,4862.41,Prepaid,159.11,5G,Phoenix,AZ,224,297,8
afc23e8e,1251,4462.58,Prepaid,153.76,5G,Phoenix,AZ,474,240,5
cc13d33d,1862,4484.48,Postpaid,142.64,3G,Chicago,IL,126,69,0
c05ddcef,2433,4756.96,Prepaid,83.36,4G,San Diego,CA,258,257,1
4cde12ea,1411,2798.48,Prepaid,187.29,5G,Philadelphia,PA,93,217,3
ac069a21,988,1480.09,Prepaid,194.09,5G,San Jose,CA,389,221,4
e85c4f11,3301,4801.99,Prepaid,71.09,5G,San Diego,CA,11,274,10
f9c1957e,1473,1141.26,Prepaid,61.57,5G,San Jose,CA,92,136,1
9ac5fcaf,2838,1135.77,Prepaid,15.21,5G,Philadelphia,PA,287,221,3
ea6c158d,208,1278.15,Postpaid,20.68,4G,Dallas,TX,44,169,4
77d624ca,2409,4486.9,Prepaid,10.06,3G,Philadelphia,PA,25,131,8
522a95ff,3317,3464.49,Prepaid,70.36,5G,San Antonio,TX,235,295,5
872370e9,174,1171.47,Postpaid,150.64,5G,Houston,TX,117,193,6
1845b4d8,837,1365.88,Prepaid,17.03,4G,Houston,TX,251,247,4
7d27b62b,2795,3219.5,Prepaid,199.8,4G,San Antonio,TX,126,26,9
035b19c5,83,4331.86,Prepaid,181.69,4G,San Diego,CA,265,166,5
bb7543a0,391,2703.16,Prepaid,32.17,4G,Phoenix,AZ,400,70,6
631c4342,2056,3135.83,Postpaid,41.02,5G,San Antonio,TX,168,212,7
0c82d2e2,1187,608.53,Prepaid,85.18,5G,Houston,TX,146,239,5
00e0e26b,556,348.7,Postpaid,140.76,5G,Dallas,TX,156,110,3
48e812f3,1202,3867.65,Prepaid,117.75,5G,Houston,TX,205,298,8
771819e5,1893,2619.06,Postpaid,30.83,4G,New York,NY,32,131,0
c06ca4f1,253,1877.57,Postpaid,151.0,4G,Houston,TX,361,236,10
4d60de3a,1512,399.62,Prepaid,123.97,5G,Chicago,IL,46,132,0
52bc0b19,3290,872.83,Postpaid,82.58,3G,Philadelphia,PA,360,91,10
7b13bd13,2915,4806.46,Prepaid,11.22,5G,Houston,TX,93,242,5
97bb3e8a,2252,830.07,Prepaid,195.11,5G,Houston,TX,323,134,2
2d01050d,583,387.94,Postpaid,104.85,5G,Houston,TX,28,221,9
40a5cbff,2611,3570.39,Prepaid,101.57,4G,New York,NY,417,128,10
b70bff47,1809,615.51,Postpaid,135.21,5G,San Diego,CA,404,254,1
72b4893e,415,2017.74,Postpaid,197.33,4G,Chicago,IL,60,57,10
57d6c115,3192,4598.52,Postpaid,148.2,4G,Dallas,TX,203,11,10
4388718c,229,2059.87,Prepaid,38.79,4G,San Diego,CA,431,50,3
e8c1faaa,1318,3426.14,Postpaid,14.45,4G,San Jose,CA,446,272,10
e797a533,2410,645.99,Postpaid,137.3,3G,Chicago,IL,224,153,0
2639b202,496,441.76,Prepaid,30.27,4G,Dallas,TX,177,155,4
e4d7a517,370,4829.08,Prepaid,62.43,5G,Houston,TX,78,101,3
038526f0,1539,1292.29,Postpaid,147.02,4G,Dallas,TX,265,8,8
2dda5b35,1290,2946.14,Postpaid,25.63,3G,Chicago,IL,376,5,5
fe9b7cfd,3126,4225.69,Postpaid,42.57,5G,San Antonio,TX,171,225,3
f16c8969,2924,284.7,Postpaid,23.2,5G,Houston,TX,328,280,1
c48d2e42,899,2984.49,Prepaid,37.2,4G,Dallas,TX,448,204,6
9457dd54,527,10.19,Postpaid,154.32,5G,Chicago,IL,482,4,6
a0547af2,627,3994.8,Postpaid,21.55,4G,New York,NY,99,124,9
811b79f9,3153,2703.81,Prepaid,169.95,5G,Philadelphia,PA,122,79,5
519e6f69,2887,1859.83,Postpaid,191.96,5G,San Diego,CA,138,115,3
71b86e9d,156,2514.58,Prepaid,186.81,3G,Dallas,TX,379,71,10
909ea1ed,1413,2007.68,Postpaid,99.09,3G,San Jose,CA,87,158,2
847d328b,535,334.78,Postpaid,90.6,5G,San Antonio,TX,181,257,10
35a5deb8,617,4653.17,Prepaid,46.46,3G,San Diego,CA,142,18,8
4d12997c,2725,3412.11,Postpaid,127.61,3G,Dallas,TX,493,263,2
86ff6705,3588,2085.07,Postpaid,129.1,5G,Chicago,IL,201,239,3
5c56be05,529,2913.57,Postpaid,130.92,4G,Houston,TX,57,94,1
417925c0,779,1763.98,Prepaid,61.19,4G,San Antonio,TX,201,240,5
c2fbc1e2,84,642.89,Postpaid,148.3,3G,Phoenix,AZ,47,289,1
bc52257b,2706,1626.64,Prepaid,119.26,5G,San Diego,CA,335,203,0
a2fa95e7,1245,1153.5,Postpaid,68.92,5G,Phoenix,AZ,428,72,7
e41d85c5,600,715.14,Prepaid,22.76,4G,Los Angeles,CA,91,5,1
f64c099a,1749,2296.74,Postpaid,12.81,5G,Philadelphia,PA,132,266,9
4a54b863,2000,3295.18,Postpaid,76.67,5G,San Diego,CA,457,230,2
ef1a0db6,2561,3825.73,Prepaid,120.74,3G,Los Angeles,CA,47,38,5
e2560855,1503,2766.9,Postpaid,21.23,3G,New York,NY,279,144,8
299e26d1,548,892.58,Postpaid,18.28,3G,Chicago,IL,265,131,0
e5cd141d,1732,45.31,Postpaid,28.85,4G,Houston,TX,72,149,1
2ba85112,1233,1029.96,Prepaid,88.76,3G,San Diego,CA,102,173,2
f5624bb2,2445,556.17,Prepaid,39.69,4G,New York,NY,110,112,2
f0c7134c,1771,2043.52,Postpaid,172.78,3G,Dallas,TX,398,30,5
dd70db30,513,4140.71,Prepaid,17.1,3G,Houston,TX,277,232,0
9d6c67ed,2186,2660.71,Prepaid,158.26,3G,Chicago,IL,290,85,1
ad3b81fc,1838,1292.25,Postpaid,148.95,4G,Los Angeles,CA,309,294,9
d8bf6e53,3111,3499.84,Postpaid,28.1,5G,Philadelphia,PA,25,294,0
5b665aaf,1330,2767.51,Postpaid,86.73,5G,Houston,TX,414,27,9
38c9cccb,322,3309.16,Postpaid,56.99,5G,San Diego,CA,92,122,3
8ba92ef8,3160,1829.24,Postpaid,20.88,3G,Houston,TX,122,73,6
39b27b16,2723,4241.08,Postpaid,83.14,5G,New York,NY,465,51,9
06f52c52,978,3684.49,Prepaid,146.17,3G,Los Angeles,CA,475,278,3
6275f362,462,1204.88,Prepaid,165.73,5G,Phoenix,AZ,225,234,9
20f1ce99,1964,4274.42,Prepaid,84.02,3G,San Jose,CA,31,29,7
166d4c90,421,333.96,Prepaid,60.34,4G,Phoenix,AZ,170,48,2
2ac10d10,1872,2213.59,Postpaid,91.85,4G,Los Angeles,CA,61,287,0
62356553,1521,2903.58,Prepaid,91.97,5G,Philadelphia,PA,355,86,2
73bf38e1,148,2227.78,Postpaid,142.35,3G,San Jose,CA,453,265,4
34fe1787,3424,4794.35,Postpaid,166.34,4G,Philadelphia,PA,94,133,2
356b6123,733,1073.13,Prepaid,147.67,4G,Houston,TX,75,15,2
9b413b8a,2702,580.24,Postpaid,117.14,3G,Houston,TX,122,32,5
1537fd26,1786,1813.15,Postpaid,98.0,4G,Houston,TX,462,3,7
90f4bbbb,2303,1032.48,Postpaid,194.56,4G,Chicago,IL,147,216,6
ffec341f,1451,3550.04,Prepaid,161.26,5G,Houston,TX,226,88,6
89f03d3c,2384,4912.45,Prepaid,145.85,4G,Los Angeles,CA,341,136,9
e0938e04,1357,3470.13,Prepaid,44.43,4G,New York,NY,321,200,3
cc1b5ed0,1623,4737.44,Prepaid,51.84,5G,San Jose,CA,155,295,1
04d4943d,3101,2526.98,Prepaid,42.61,4G,Philadelphia,PA,360,298,8
31b97053,2206,486.85,Prepaid,40.99,5G,Chicago,IL,349,255,10
1cf60fdf,2750,4996.3,Prepaid,154.11,4G,Los Angeles,CA,267,204,10
274725fe,161,4128.57,Prepaid,22.31,5G,Dallas,TX,472,143,7
ee6d3ff8,1853,4322.51,Postpaid,92.74,3G,San Diego,CA,320,195,0
d27066f8,1472,3128.21,Postpaid,168.4,5G,Philadelphia,PA,142,26,8
a2bc1228,1383,3064.02,Prepaid,117.49,3G,San Antonio,TX,272,264,5
e12dd776,1632,3033.38,Prepaid,166.79,3G,San Diego,CA,374,116,10
40305b44,428,3516.41,Prepaid,199.83,5G,Los Angeles,CA,239,37,9
4bf77976,2639,557.38,Postpaid,183.78,3G,Phoenix,AZ,273,108,10
15e22178,559,942.35,Prepaid,194.42,3G,Dallas,TX,209,69,7
52b5f55f,1751,4778.9,Postpaid,10.62,4G,San Diego,CA,262,253,10
19c29f07,2774,353.61,Postpaid,187.74,3G,Los Angeles,CA,377,275,9
fa4482c3,3328,3456.31,Postpaid,179.03,4G,San Diego,CA,217,121,4
17215d18,1971,3394.64,Prepaid,24.22,3G,Dallas,TX,275,54,9
3cf14fb8,2259,743.29,Prepaid,175.76,4G,New York,NY,138,118,5
f8e45720,1035,3360.24,Prepaid,77.78,3G,Houston,TX,421,66,9
36992889,269,1306.23,Postpaid,51.42,3G,Los Angeles,CA,421,82,10
549ee869,1869,4234.01,Postpaid,185.23,4G,New York,NY,231,130,5
269b4812,3168,2585.15,Postpaid,135.08,3G,New York,NY,123,125,10
3d64b86a,3063,4142.6,Prepaid,133.96,3G,Phoenix,AZ,109,212,2
6a48441b,2492,1247.02,Postpaid,196.18,3G,Dallas,TX,434,41,3
efaea584,1561,2183.13,Postpaid,180.51,5G,Dallas,TX,57,198,0
f84d89f7,2609,2874.51,Prepaid,167.02,5G,Houston,TX,471,111,0
02e7bdfb,3193,3569.34,Postpaid,51.73,3G,Philadelphia,PA,379,23,0
e655a3d4,2569,3815.26,Prepaid,92.02,4G,Phoenix,AZ,449,71,6
fb8efde0,2592,4481.99,Postpaid,25.81,3G,Phoenix,AZ,153,1,5
d25a8cdc,1499,578.22,Prepaid,160.7,5G,Chicago,IL,244,162,6
fbbf1ea0,3185,3147.87,Prepaid,37.16,3G,San Jose,CA,183,159,1
fdb1effb,2830,2951.34,Postpaid,76.96,5G,Philadelphia,PA,159,24,5
84b0d2ae,3546,832.36,Postpaid,93.6,4G,Dallas,TX,64,32,6
7b349af3,56,231.69,Postpaid,154.16,5G,Philadelphia,PA,362,71,10
2b153d1c,3413,1190.69,Postpaid,43.94,3G,San Antonio,TX,424,28,10
2a7c96ec,870,1782.41,Postpaid,135.4,3G,Chicago,IL,14,150,7
5f09aa8d,2341,4307.54,Postpaid,128.66,5G,Philadelphia,PA,34,1,0
92066025,2821,4567.68,Postpaid,155.22,4G,Phoenix,AZ,170,126,2
ed13fb0b,1002,3639.58,Prepaid,169.71,5G,San Jose,CA,440,53,5
94964ee8,409,2557.61,Postpaid,174.81,4G,Philadelphia,PA,468,187,0
56ae5d30,1713,1907.22,Prepaid,184.27,3G,Chicago,IL,494,195,10
141c5f89,1220,1714.9,Prepaid,93.8,5G,Houston,TX,393,58,0
e708f5b4,2270,807.62,Prepaid,171.23,4G,New York,NY,461,136,8
329595d7,2024,1297.34,Prepaid,173.08,5G,New York,NY,386,192,8
35ac8a1c,3579,476.76,Postpaid,95.95,3G,Houston,TX,266,130,5
671289ec,264,1862.43,Postpaid,140.81,5G,Los Angeles,CA,255,15,1
5c5b9bd2,3258,189.16,Prepaid,42.02,4G,Chicago,IL,112,237,4
120e018d,1335,4745.35,Postpaid,190.4,5G,Los Angeles,CA,454,221,5
c85e0fd7,383,3125.44,Postpaid,53.0,4G,Phoenix,AZ,291,82,2
7c785d0d,1038,3146.9,Postpaid,62.51,4G,Chicago,IL,116,83,1
83400bb7,3449,4459.21,Prepaid,96.57,4G,Phoenix,AZ,323,73,9
e4900f16,3582,1977.92,Postpaid,135.98,5G,Dallas,TX,389,275,9
165c7739,2984,4970.63,Postpaid,195.15,5G,San Diego,CA,120,76,1
3ae1eda3,2890,647.88,Postpaid,72.02,4G,Los Angeles,CA,120,237,4
b380ff0a,2415,617.7,Prepaid,135.9,5G,San Jose,CA,222,89,6
58efcc82,2186,2677.44,Postpaid,175.27,5G,Chicago,IL,71,237,10
a3d52e67,2180,4861.12,Postpaid,16.06,4G,Los Angeles,CA,471,137,5
5bc5ab02,454,2221.51,Postpaid,144.35,5G,San Antonio,TX,434,24,6
b6a0a2a7,1015,1470.28,Prepaid,26.94,3G,New York,NY,297,283,6
4352bf6c,3566,4084.91,Postpaid,70.94,3G,Phoenix,AZ,39,201,2
6e0d8fcf,1115,894.47,Prepaid,110.91,5G,Phoenix,AZ,82,285,8
78b1fc15,1327,1338.68,Postpaid,79.25,3G,Chicago,IL,358,245,2
4bc7d845,3541,538.91,Prepaid,110.09,5G,Dallas,TX,16,272,10
2e0886cd,912,1195.28,Postpaid,171.36,3G,New York,NY,240,40,8
dcb53362,3014,2101.39,Prepaid,13.19,4G,Houston,TX,4,99,5
88cb75b9,2043,684.66,Prepaid,188.33,3G,Chicago,IL,180,74,7
2394d53d,1086,3278.58,Postpaid,133.0,4G,Phoenix,AZ,43,129,8
c3cf59c4,3194,2156.01,Postpaid,113.54,5G,San Diego,CA,54,28,5
f8b65e6a,1697,3268.6,Postpaid,141.51,3G,Phoenix,AZ,444,45,0
489a68ed,3524,4279.9,Postpaid,36.5,3G,Houston,TX,385,221,6
335e66d1,1727,965.95,Prepaid,132.31,5G,San Diego,CA,65,116,5
73053ce8,452,4479.05,Prepaid,84.86,3G,San Jose,CA,181,165,1
0af98716,1013,1444.94,Postpaid,112.73,4G,Phoenix,AZ,403,280,6
9b1e5cb9,961,4139.11,Postpaid,198.42,4G,Los Angeles,CA,301,3,2
ff1c82a7,2027,1039.24,Postpaid,69.92,3G,Chicago,IL,327,270,3
25488f01,1228,3531.99,Postpaid,113.16,3G,San Antonio,TX,172,211,3
22db3f17,3341,2846.23,Postpaid,158.35,5G,Los Angeles,CA,159,300,0
2ec4d8a4,1937,1421.19,Prepaid,15.09,4G,San Jose,CA,379,18,0
1a112c24,2712,584.62,Prepaid,38.86,3G,Los Angeles,CA,393,123,9
e1bcb17f,502,1403.18,Postpaid,182.51,3G,Chicago,IL,221,90,4
57775a6f,634,4550.41,Postpaid,69.3,4G,Phoenix,AZ,203,95,7
28676a37,1607,1173.85,Prepaid,134.24,4G,San Antonio,TX,43,198,0
e6c7b34c,1630,4570.13,Prepaid,97.63,4G,San Antonio,TX,342,176,7
8782d34f,585,4084.83,Postpaid,130.22,4G,San Antonio,TX,144,10,9
73f921cb,672,125.87,Postpaid,58.37,4G,Houston,TX,431,6,10
5ca191a7,942,150.99,Postpaid,55.82,4G,San Diego,CA,321,173,7
ea3641c4,1407,3960.24,Postpaid,77.31,3G,Chicago,IL,346,187,5
69f736df,949,658.39,Prepaid,188.32,5G,Los Angeles,CA,315,8,10
8656e02b,2664,2436.14,Postpaid,51.69,3G,Philadelphia,PA,84,193,0
8e0d671e,2172,1923.52,Prepaid,161.49,3G,Los Angeles,CA,266,28,0
1adb323c,2750,1885.04,Prepaid,111.79,3G,Los Angeles,CA,191,214,5
0a8d7513,1648,1699.76,Prepaid,39.25,5G,Dallas,TX,74,37,7
7ea6710f,3287,2174.1,Postpaid,29.62,3G,Los Angeles,CA,91,246,0
b0f96b17,103,2355.26,Prepaid,159.39,4G,Los Angeles,CA,435,300,1
c1ebe52f,1052,4025.9,Postpaid,162.05,5G,Houston,TX,253,220,6
1706d321,680,2355.85,Prepaid,33.31,5G,Los Angeles,CA,388,128,2
e93d72eb,1308,4779.62,Postpaid,95.66,5G,Dallas,TX,328,29,9
5f7df8ff,2847,4147.9,Postpaid,147.28,5G,Phoenix,AZ,194,290,5
c02b4c15,633,3900.98,Postpaid,76.78,4G,San Antonio,TX,52,147,3
15a50b48,2314,4422.21,Postpaid,45.41,4G,New York,NY,291,247,8
d14c78fa,2638,1978.07,Postpaid,105.68,4G,Dallas,TX,231,197,0
8b8d8bb9,3166,3439.12,Prepaid,29.09,5G,Chicago,IL,391,212,8
1110cc25,3572,209.12,Postpaid,133.3,4G,San Antonio,TX,227,229,4
bfb2be18,2703,4420.09,Prepaid,193.46,3G,Philadelphia,PA,216,50,8
a8c510f5,1315,3108.9,Prepaid,35.32,3G,Philadelphia,PA,55,91,10
28c4da60,1795,966.97,Postpaid,70.66,4G,Chicago,IL,40,210,7
d7c376a1,1501,2501.52,Postpaid,199.63,3G,Chicago,IL,394,197,10
dbea2d39,3168,1226.71,Postpaid,108.69,4G,San Jose,CA,14,230,5
a08e0c45,2745,1880.9,Postpaid,34.83,4G,Los Angeles,CA,117,231,8
9815fb5e,2119,3742.59,Prepaid,138.43,3G,San Jose,CA,500,18,4
da570db2,1192,2674.99,Postpaid,134.64,4G,Philadelphia,PA,453,297,1
7fc47cba,3362,3524.59,Prepaid,162.69,5G,Chicago,IL,404,249,5
132e07bd,2712,1873.94,Prepaid,75.06,5G,San Antonio,TX,101,103,3
eeb3db02,1392,3817.08,Prepaid,31.42,5G,Dallas,TX,120,85,8
3ec4249c,3240,803.85,Prepaid,147.06,3G,Houston,TX,6,133,3
502b89e3,3246,3463.31,Prepaid,27.0,5G,Los Angeles,CA,24,208,9
92c8fcbd,1187,2490.17,Postpaid,142.38,4G,San Diego,CA,451,1,6
b7b57f7f,3523,1211.76,Postpaid,55.71,3G,Los Angeles,CA,393,196,10
8cb9f754,1075,3137.71,Prepaid,140.38,4G,San Diego,CA,472,144,4
004ac577,66,4794.18,Postpaid,92.01,3G,Houston,TX,61,165,6
9409b1d3,1043,4560.11,Postpaid,36.73,4G,San Jose,CA,399,248,9
5ed57fd9,3045,4317.66,Prepaid,27.5,4G,San Diego,CA,177,46,1
54c7087b,3568,3303.5,Postpaid,90.85,4G,Phoenix,AZ,485,284,4
5026293d,3266,3618.98,Postpaid,142.52,4G,Dallas,TX,308,34,1
0e3a671b,1337,3710.16,Postpaid,52.1,3G,New York,NY,475,33,9
d3418163,2427,2592.06,Prepaid,36.35,3G,Houston,TX,103,282,3
71530371,1068,676.59,Postpaid,127.71,4G,New York,NY,135,200,6
ca044c2c,1854,1852.92,Prepaid,76.07,4G,Los Angeles,CA,205,234,3
97e4b951,2125,359.29,Prepaid,40.47,3G,Chicago,IL,259,208,5
a4117bfe,3289,1906.88,Postpaid,93.71,5G,Los Angeles,CA,272,251,6
4c99f7e2,3379,2252.75,Postpaid,29.41,5G,Los Angeles,CA,500,31,3
d646454b,1592,4345.13,Postpaid,83.13,3G,San Diego,CA,292,65,9
2e76d76a,1732,2126.99,Postpaid,139.48,4G,San Antonio,TX,447,150,8
8549d89f,2918,3224.93,Prepaid,46.11,5G,Chicago,IL,305,91,6
6fb5c405,1418,3500.53,Postpaid,22.57,4G,San Jose,CA,184,74,4
ead63517,932,574.35,Prepaid,51.1,5G,San Jose,CA,324,88,2
be4baf22,2614,3641.25,Postpaid,44.18,3G,Chicago,IL,69,137,8
f19da582,414,4071.18,Prepaid,47.13,5G,Philadelphia,PA,63,288,1
cff40f4b,2638,1058.78,Prepaid,187.24,5G,Chicago,IL,10,182,4
98a3fdcb,1093,4941.36,Prepaid,106.19,4G,Houston,TX,61,131,4
9bd2eb33,387,2942.79,Postpaid,156.11,5G,Philadelphia,PA,226,298,10
9bef266c,2101,1132.17,Postpaid,167.73,3G,Houston,TX,348,162,1
ebb1a7d2,2399,259.77,Prepaid,127.57,4G,Philadelphia,PA,175,86,10
80b2b832,1088,4155.3,Prepaid,106.91,4G,San Diego,CA,495,197,3
4c90a2f1,1056,2961.28,Postpaid,11.42,5G,Dallas,TX,481,56,5
d074a37d,3320,245.72,Postpaid,84.68,5G,New York,NY,142,222,0
203e9305,1340,3835.92,Prepaid,166.03,3G,San Antonio,TX,212,86,0
a74fd369,2531,2884.72,Prepaid,187.25,3G,Chicago,IL,44,240,1
ce2130a9,2700,1042.0,Postpaid,32.09,4G,Chicago,IL,358,248,9
d60f34ed,1399,3237.61,Postpaid,116.91,4G,San Antonio,TX,173,121,2
7af23c59,119,599.74,Postpaid,42.15,5G,Chicago,IL,282,57,9
072b0e4c,2658,2009.57,Prepaid,153.34,3G,Houston,TX,213,265,3
38ca8f2a,1542,2050.94,Prepaid,48.1,4G,San Jose,CA,319,137,1
bfda4466,128,1862.72,Prepaid,198.63,5G,San Diego,CA,91,281,4
a78a8c32,2916,659.34,Postpaid,131.5,4G,San Antonio,TX,331,222,3
a153c68b,3003,4320.56,Prepaid,194.91,5G,San Diego,CA,174,81,1
4acf87fe,752,4962.39,Postpaid,80.86,4G,San Antonio,TX,162,25,10
f4c1031c,615,2799.69,Prepaid,87.52,4G,San Jose,CA,301,96,2
ca86cbd6,2521,4880.8,Postpaid,52.4,4G,Houston,TX,197,81,3
5b8aebf2,105,553.29,Prepaid,161.05,4G,Los Angeles,CA,371,102,0
680a9bb2,2588,4298.55,Prepaid,64.59,4G,Phoenix,AZ,13,295,6
30a26f5f,878,1603.6,Prepaid,184.64,4G,Phoenix,AZ,63,79,2
db36de58,2763,1799.22,Postpaid,62.72,3G,Phoenix,AZ,74,173,10
5d0014ba,3064,510.51,Prepaid,28.18,4G,Philadelphia,PA,184,286,8
0520cc90,2278,3378.97,Postpaid,45.48,4G,San Diego,CA,334,271,5
68bd0047,2464,590.1,Prepaid,151.31,5G,Dallas,TX,147,268,10
3104d701,85,2618.94,Postpaid,94.92,5G,Dallas,TX,59,286,8
387968f0,1182,848.69,Prepaid,79.16,3G,Houston,TX,60,74,0
