Customer_ID,Age,Gender,Income,Service_Usage,Purchase_History,Segment
327,35,Male,102542,74,17,High-Value
328,63,Female,95207,74,206,High-Value
329,35,Male,137725,90,30,Medium-Value
330,19,Male,64345,89,470,Low-Value
331,52,Male,113430,53,299,Low-Value
332,33,Male,134921,28,304,High-Value
333,58,Female,111729,77,43,High-Value
334,53,Male,71843,15,93,Medium-Value
335,50,Female,30222,60,370,Low-Value
336,21,Female,109322,60,66,Medium-Value
337,50,Male,51509,6,119,Medium-Value
338,31,Female,20386,52,309,Medium-Value
339,38,Male,84334,12,72,High-Value
340,65,Male,87170,19,334,Medium-Value
341,37,Male,60878,96,162,Low-Value
342,25,Female,89669,75,461,High-Value
343,24,Female,127680,97,330,Medium-Value
344,20,Female,58349,2,328,High-Value
345,34,Male,120271,55,455,Medium-Value
346,50,Male,41952,15,269,Medium-Value
347,65,Male,141972,64,218,Medium-Value
348,29,Female,110352,69,254,Low-Value
349,68,Male,41529,15,440,Medium-Value
350,39,Male,91303,43,59,Medium-Value
351,39,Female,61521,74,32,High-Value
352,63,Female,38383,17,339,Low-Value
353,47,Female,24901,98,120,High-Value
354,55,Male,62889,24,463,Low-Value
355,55,Male,34633,74,310,High-Value
356,62,Male,82244,30,2,High-Value
357,68,Female,149177,67,118,High-Value
358,25,Female,39163,51,37,Low-Value
359,44,Female,79019,60,467,Medium-Value
360,44,Female,30707,3,97,High-Value
361,51,Male,108112,5,359,High-Value
362,38,Male,103597,28,370,Medium-Value
363,47,Male,65101,78,417,High-Value
364,50,Male,64706,11,257,Medium-Value
365,45,Male,97084,72,128,High-Value
366,64,Male,35115,72,359,Medium-Value
367,50,Male,95379,76,156,High-Value
368,22,Male,122481,15,145,Medium-Value
369,65,Female,59979,83,57,Medium-Value
370,36,Female,60641,48,70,High-Value
371,21,Male,89377,46,436,Medium-Value
372,52,Female,141786,28,44,Medium-Value
373,66,Male,26416,7,212,High-Value
374,34,Male,30633,71,175,Medium-Value
375,61,Female,148785,94,141,Medium-Value
376,45,Male,123189,82,76,Medium-Value
377,47,Male,20594,88,158,High-Value
378,46,Male,34393,6,85,High-Value
379,63,Male,55380,58,322,High-Value
380,23,Male,65056,68,309,Medium-Value
381,52,Male,108279,55,18,Medium-Value
382,58,Male,117507,67,284,Medium-Value
383,54,Female,136184,49,388,Low-Value
384,41,Female,138243,51,42,High-Value
385,46,Male,24861,59,491,Low-Value
386,66,Female,123070,6,382,High-Value
387,63,Male,56126,90,373,Low-Value
388,48,Male,100382,51,134,Medium-Value
389,52,Male,111713,38,102,Low-Value
390,50,Male,53682,11,137,High-Value
391,69,Female,38228,52,404,Medium-Value
392,38,Female,120299,93,493,Medium-Value
393,49,Female,44009,20,222,Low-Value
394,40,Female,20094,10,229,Low-Value
395,50,Male,126988,26,294,High-Value
396,20,Female,100636,48,452,Medium-Value
397,35,Male,72221,91,486,Medium-Value
398,42,Male,118453,14,306,High-Value
399,59,Female,37430,59,316,High-Value
400,48,Male,55571,12,397,Low-Value
401,20,Female,74486,23,119,Medium-Value
402,57,Female,110510,85,99,High-Value
403,63,Female,116665,72,350,High-Value
404,41,Female,132770,39,426,High-Value
405,67,Female,82294,9,324,Medium-Value
406,49,Male,149171,88,409,Medium-Value
407,64,Female,40860,95,159,Medium-Value
408,39,Female,92812,25,239,High-Value
409,40,Male,86087,17,396,Medium-Value
410,19,Female,133784,42,320,High-Value
411,44,Female,28486,29,335,Low-Value
412,59,Male,103063,60,189,High-Value
413,19,Male,69607,67,309,Low-Value
414,43,Female,29745,85,249,Medium-Value
415,34,Male,126664,57,26,Medium-Value
416,57,Female,98533,72,189,High-Value
417,50,Male,38330,14,394,Medium-Value
418,26,Female,140803,39,140,Low-Value
419,60,Female,60078,16,406,High-Value
420,65,Female,75332,18,488,High-Value
421,56,Male,124121,95,181,Medium-Value
422,46,Female,74532,75,21,High-Value
423,59,Male,141062,20,163,Medium-Value
424,43,Female,110365,46,71,High-Value
425,52,Female,63336,45,82,Medium-Value
426,67,Female,28070,4,155,Medium-Value
427,42,Female,21320,84,316,High-Value
428,41,Female,109043,95,355,Medium-Value
429,30,Male,58921,20,47,Medium-Value
430,24,Male,26589,11,194,High-Value
431,53,Male,84409,65,224,Medium-Value
432,62,Female,112995,18,399,Medium-Value
433,37,Female,35589,39,237,High-Value
434,18,Male,56375,44,280,Low-Value
435,25,Female,63085,97,468,Medium-Value
436,63,Female,80840,18,10,High-Value
437,33,Female,63200,47,376,Low-Value
438,31,Male,118704,31,472,Medium-Value
439,29,Male,46732,99,152,Medium-Value
440,68,Male,117047,39,344,High-Value
441,40,Male,42426,38,104,Low-Value
442,32,Male,50982,79,496,Low-Value
443,45,Female,79720,47,124,Medium-Value
444,51,Female,36746,70,185,High-Value
445,19,Female,48514,8,496,High-Value
446,49,Female,84889,86,290,Medium-Value
447,40,Male,23851,65,41,High-Value
448,39,Male,39796,13,424,Medium-Value
449,68,Female,96034,55,11,Medium-Value
450,42,Male,82798,88,218,Low-Value
451,39,Female,118388,85,1,Medium-Value
452,39,Female,82985,43,414,High-Value
453,66,Female,54592,4,171,Low-Value
454,69,Female,64845,71,338,Low-Value
455,59,Male,35930,60,282,Medium-Value
456,23,Female,143187,12,53,High-Value
457,32,Male,130853,59,125,Medium-Value
458,60,Female,128417,77,175,Low-Value
459,54,Female,133436,54,265,High-Value
460,50,Female,127126,44,265,Medium-Value
461,25,Female,41159,16,385,Medium-Value
462,61,Male,115072,6,199,Medium-Value
463,61,Female,109788,14,256,Low-Value
464,22,Male,44003,58,172,Medium-Value
465,56,Female,125722,31,59,Medium-Value
466,21,Female,55139,41,440,Medium-Value
467,23,Female,125372,35,106,High-Value
468,62,Male,72452,10,435,Medium-Value
469,49,Female,42205,81,125,Low-Value
470,69,Female,116059,30,16,Low-Value
471,47,Female,76955,44,38,Medium-Value
472,64,Female,130163,55,395,High-Value
473,52,Female,27464,71,243,Low-Value
474,57,Male,102646,18,409,Medium-Value
475,69,Male,131852,83,477,Low-Value
476,33,Female,92657,79,467,High-Value
477,30,Female,29840,86,210,Medium-Value
478,67,Male,122616,39,495,High-Value
479,59,Female,60768,42,315,Low-Value
480,47,Male,29461,54,285,Low-Value
481,36,Female,40927,30,464,Medium-Value
482,34,Female,109934,20,494,High-Value
483,36,Male,118622,96,168,High-Value
484,45,Female,35329,42,264,Medium-Value
485,43,Male,35791,89,98,Medium-Value
486,54,Male,72627,87,134,Medium-Value
487,43,Male,148885,5,429,Medium-Value
488,40,Female,34372,50,365,Medium-Value
489,26,Male,134239,41,181,High-Value
490,29,Male,112890,94,222,Medium-Value
491,18,Female,68469,39,364,Medium-Value
492,18,Female,129554,57,482,Low-Value
493,64,Female,107073,91,149,Medium-Value
494,51,Female,138822,57,244,Medium-Value
495,49,Female,54370,37,313,High-Value
496,65,Female,71408,7,76,Low-Value
497,42,Male,110941,5,369,High-Value
498,57,Female,127351,79,262,Medium-Value
499,62,Male,43703,51,231,Low-Value
500,18,Female,35234,8,191,Medium-Value
501,33,Male,27532,56,380,Medium-Value
502,56,Male,125670,73,134,High-Value
503,22,Female,55416,11,309,Low-Value
504,39,Female,92439,22,252,High-Value
505,46,Male,38242,98,388,High-Value
506,20,Female,70254,99,245,High-Value
507,29,Female,99324,77,265,High-Value
508,43,Male,55249,11,325,Low-Value
509,33,Male,120124,60,330,Medium-Value
510,68,Male,115049,96,367,Medium-Value
511,54,Female,128575,15,456,Low-Value
512,39,Female,105078,38,343,High-Value
513,46,Female,52294,1,4,High-Value
514,31,Female,79784,46,442,Medium-Value
515,45,Male,23684,88,37,Medium-Value
516,22,Female,43795,43,71,Medium-Value
517,64,Male,144135,22,262,High-Value
518,66,Female,80301,3,237,Medium-Value
519,47,Female,89187,14,307,High-Value
520,63,Male,30431,2,490,High-Value
521,69,Female,95667,61,463,High-Value
522,22,Female,109627,32,355,Medium-Value
523,29,Male,110381,38,178,Medium-Value
524,33,Female,110027,97,96,Medium-Value
525,43,Male,141569,46,398,Low-Value
526,43,Male,75372,42,227,Low-Value
527,65,Male,90366,6,11,Medium-Value
528,38,Male,114176,41,266,Low-Value
529,56,Female,139667,25,189,Low-Value
530,53,Female,92870,98,209,Medium-Value
531,50,Female,67387,11,13,Medium-Value
532,47,Male,72927,41,377,Low-Value
533,54,Female,29304,71,162,Medium-Value
534,40,Female,133183,57,60,High-Value
535,27,Female,37032,46,493,Medium-Value
536,22,Female,111291,86,435,High-Value
537,53,Male,132889,48,5,Medium-Value
538,51,Male,79486,63,496,High-Value
539,69,Female,85552,39,202,High-Value
540,48,Male,93844,10,416,High-Value
541,27,Female,49654,85,12,Low-Value
542,36,Female,59244,70,436,High-Value
543,49,Female,25942,65,397,High-Value
544,18,Male,70697,98,341,High-Value
545,22,Female,146031,59,240,Medium-Value
546,62,Male,22693,78,438,Low-Value
547,21,Male,76751,36,373,High-Value
548,33,Female,101098,27,378,High-Value
549,41,Male,138777,73,225,Medium-Value
550,33,Male,26259,55,182,Medium-Value
551,19,Female,139746,70,297,High-Value
552,66,Male,133883,95,304,Medium-Value
553,45,Male,127772,81,307,Medium-Value
554,49,Female,137928,53,431,Medium-Value
555,44,Female,24942,60,178,Low-Value
556,37,Male,67419,61,118,High-Value
557,41,Female,122092,36,352,High-Value
558,29,Female,76105,85,76,Low-Value
559,67,Male,85907,27,46,Low-Value
560,52,Male,47383,41,227,High-Value
561,50,Female,43404,28,356,Low-Value
562,50,Male,92656,16,294,Medium-Value
563,68,Female,25702,35,240,High-Value
564,60,Female,93883,36,348,Medium-Value
565,54,Male,120965,56,141,High-Value
566,29,Male,76332,99,204,High-Value
567,20,Female,59419,19,150,High-Value
568,18,Female,110576,57,492,Medium-Value
569,50,Female,123182,85,130,Low-Value
570,57,Female,131395,33,349,Medium-Value
571,27,Male,122619,23,333,Medium-Value
572,60,Female,108078,63,483,Medium-Value
573,61,Male,128269,70,269,Medium-Value
574,46,Male,93844,96,313,Low-Value
575,30,Female,59242,22,418,Medium-Value
576,29,Male,144983,67,403,Medium-Value
577,48,Male,54142,99,137,Medium-Value
578,63,Female,129699,80,116,Low-Value
579,19,Male,116226,59,351,High-Value
580,68,Male,27393,25,161,High-Value
581,67,Female,89939,17,155,Medium-Value
582,52,Female,89082,39,173,Low-Value
583,40,Female,122281,77,130,Medium-Value
584,34,Female,48893,92,79,Low-Value
585,43,Female,29388,75,467,High-Value
586,25,Female,138099,74,57,Medium-Value
587,46,Female,127292,39,351,Medium-Value
588,43,Male,82969,24,57,Medium-Value
589,27,Male,56660,38,400,Low-Value
590,43,Female,109244,88,363,Low-Value
591,51,Male,44726,97,335,Medium-Value
592,68,Male,99544,81,134,Medium-Value
593,58,Female,121553,57,14,Low-Value
594,24,Male,82996,44,283,Medium-Value
595,21,Female,20111,36,294,Low-Value
596,67,Male,135370,99,147,Low-Value
597,62,Female,37545,70,421,Medium-Value
598,28,Male,60168,80,127,Low-Value
599,46,Male,22379,45,491,Medium-Value
600,53,Male,115773,92,260,High-Value
601,42,Female,131484,96,314,Medium-Value
602,38,Male,107346,26,218,High-Value
603,53,Male,61120,11,393,Medium-Value
604,27,Female,37809,52,233,Low-Value
605,54,Female,72813,25,369,High-Value
606,26,Male,94005,31,168,High-Value
607,41,Male,47967,85,143,Medium-Value
608,52,Male,29748,45,489,Medium-Value
609,66,Male,43424,67,485,Medium-Value
610,52,Female,106512,76,260,Medium-Value
611,65,Male,43914,40,218,High-Value
612,53,Male,115603,46,308,High-Value
613,35,Female,128411,54,146,Low-Value
614,66,Male,98478,41,489,High-Value
615,56,Male,39491,89,437,Medium-Value
616,49,Male,69454,81,443,Low-Value
617,41,Female,90069,38,99,Low-Value
618,40,Female,71925,36,182,High-Value
619,49,Male,109119,83,169,Medium-Value
620,54,Male,57049,44,233,Low-Value
621,29,Female,47821,57,444,Medium-Value
622,66,Male,115797,66,93,Low-Value
623,30,Male,123072,81,117,Medium-Value
624,40,Female,49945,30,472,High-Value
625,42,Female,37384,10,4,Medium-Value
626,52,Female,48410,99,85,Medium-Value
627,58,Male,97734,61,167,Medium-Value
628,47,Male,83766,63,7,High-Value
629,34,Male,114890,36,381,High-Value
630,66,Male,136406,54,407,Low-Value
631,37,Female,27169,97,232,High-Value
632,65,Male,60129,65,251,High-Value
633,42,Male,117445,82,85,Low-Value
634,39,Female,23830,4,319,Medium-Value
635,30,Female,76306,55,193,High-Value
636,36,Male,106940,54,123,Medium-Value
637,66,Female,85267,91,425,Medium-Value
638,53,Female,47757,89,89,Medium-Value
639,29,Male,83867,64,95,Low-Value
640,58,Male,55650,92,375,High-Value
641,36,Male,53766,22,300,Medium-Value
642,29,Male,101478,25,358,High-Value
643,26,Female,52419,81,45,Medium-Value
644,24,Female,36668,59,253,Low-Value
645,45,Male,36246,57,453,High-Value
646,31,Male,44996,54,373,Medium-Value
647,48,Female,71312,44,479,High-Value
648,69,Male,23065,52,51,High-Value
649,36,Male,30467,76,65,Medium-Value
650,64,Male,70646,16,54,Medium-Value
651,33,Male,130380,16,440,High-Value
652,22,Female,41007,81,222,Low-Value
653,52,Male,88079,55,466,High-Value
654,29,Female,48702,61,72,High-Value
655,42,Male,114369,95,376,High-Value
656,69,Male,95569,79,474,High-Value
657,38,Female,73952,77,168,High-Value
658,53,Male,78065,40,186,Low-Value
659,40,Female,54169,91,143,Medium-Value
660,33,Male,36829,21,19,Medium-Value
661,56,Male,80135,66,10,Low-Value
662,62,Male,24522,8,472,Medium-Value
663,59,Male,105687,71,272,High-Value
664,56,Male,55319,10,171,High-Value
665,31,Female,140334,57,415,High-Value
666,48,Female,46543,4,364,Medium-Value
667,22,Male,138576,43,16,High-Value
668,52,Male,123120,99,80,Medium-Value
669,40,Female,137419,63,284,Medium-Value
670,46,Female,50473,43,190,Low-Value
671,60,Male,27699,67,148,Low-Value
672,28,Male,88165,82,163,High-Value
673,35,Female,60455,51,443,High-Value
674,64,Male,95692,56,265,Medium-Value
675,29,Female,37441,43,360,High-Value
676,26,Male,50716,24,138,High-Value
677,27,Female,82175,96,301,Medium-Value
678,61,Female,26834,34,466,Medium-Value
679,34,Male,143637,59,365,Low-Value
680,55,Female,38179,2,493,Medium-Value
681,24,Male,46219,2,399,Low-Value
682,63,Male,123153,10,493,Low-Value
683,30,Male,35782,23,30,High-Value
684,57,Male,101363,15,304,Medium-Value
685,59,Female,142903,76,480,Medium-Value
686,26,Male,94967,17,168,Medium-Value
687,67,Male,122454,82,91,Medium-Value
688,44,Male,129593,14,91,Medium-Value
689,19,Male,29496,81,211,Medium-Value
690,22,Female,108867,79,330,High-Value
691,46,Male,59238,76,300,Low-Value
692,54,Female,66025,16,174,Medium-Value
693,55,Female,149209,32,134,High-Value
